year,state_name,commodity_desc,statisticcat_desc,unit_desc,value
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.37
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.59
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.53
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.64
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.64
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.46
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,4.2
2025,IOWA,CORN,PRICE RECEIVED,$ / BU,3.89
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.4
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.84
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.39
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.43
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.5
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.63
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.6
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.32
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.02
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.09
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.01
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.12
2024,IOWA,CORN,PRICE RECEIVED,$ / BU,4.27
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,4.61
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.74
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.83
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.7
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.75
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.57
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.57
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,6.33
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,5.77
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,5.22
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,4.96
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,4.74
2023,IOWA,CORN,PRICE RECEIVED,$ / BU,4.89
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,6.62
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,5.7
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,6.11
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,6.59
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,7.12
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,7.34
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,7.48
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,7.44
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,7.4
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,7.42
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,6.53
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,6.5
2022,IOWA,CORN,PRICE RECEIVED,$ / BU,6.69
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,6.1
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,4.4
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,4.87
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,4.89
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,5.35
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,6.03
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,6.19
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,6.22
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,6.38
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,5.63
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,5.02
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,5.23
2021,IOWA,CORN,PRICE RECEIVED,$ / BU,5.54
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,4.64
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.78
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.74
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.64
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.28
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.12
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.11
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.14
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.08
2020,IOWA,CORN,PRICE RECEIVED,$ / BU,3.39
